Track,Year,Artist,Yearly Rank,Source,Prefix,CH,40,10,PK,Time
Here Comes Summer,1959,Jerry Keller,118.0,a,1959_118,13.0,8.0,0.0,1.0,2:10
Here Comes Summer,1977,Wildfire,259.0,a,1977_259,7.0,0.0,0.0,2.0,2:43
Here Comes The Judge,1968,Pigmeat Markham,154.0,a,1968_154,8.0,4.0,0.0,1.0,2:40
Here Comes The Judge,1968,Shorty Long,81.0,a,1968_081,11.0,8.0,3.0,1.0,2:33
Here Comes The Judge,1968,"Magistrates, The",357.0,a,1968_357,7.0,0.0,0.0,1.0,2:45
Here Comes The Night,1978,Nick Gilder,261.0,a,1978_261,8.0,0.0,0.0,1.0,3:00
Here Comes The Night,1961,Ben E. King,532.0,a,1961_532,2.0,0.0,0.0,1.0,2:25
Here Comes The Night,1965,Them,216.0,a,1965_216,10.0,6.0,0.0,2.0,2:44
Here Comes The Night,1979,"Beach Boys, The",253.0,a,1979_253,8.0,0.0,0.0,2.0,4:28
Here I Am,2008,Rick Ross,183.0,b,2008_183,14.0,0.0,0.0,1.0,3:29
Here I Am,1965,Dionne Warwick,475.0,a,1965_475,8.0,0.0,0.0,1.0,2:50
Here I Am (Come And Take Me),1991,UB40,75.0,a,1991_075,25.0,12.0,3.0,1.0,3:56
Here I Am (Come And Take Me),1973,Al Green,91.0,a,1973_091,15.0,12.0,2.0,2.0,4:14
Here I Go Again,1969,Smokey Robinson,260.0,a,1969_260,9.0,3.0,0.0,1.0,2:56
Here I Go Again,1987,Whitesnake,17.0,a,1987_017,28.0,14.0,7.0,1.0,3:52
Here I Stand,1963,"Rip Chords, The",343.0,a,1963_343,8.0,0.0,0.0,1.0,2:00
Here I Stand,1959,Wade Flemons,455.0,a,1959_455,5.0,0.0,0.0,2.0,2:22
Here In My Heart,1961,Al Martino,565.0,a,1961_565,4.0,0.0,0.0,2.0,3:01
Here In My Heart,1952,Tony Bennett,118.0,h,1952_118,10.0,,,,
Here She Comes,1984,Bonnie Tyler,360.0,a,1984_360,5.0,0.0,0.0,1.0,3:21
Here She Comes,1964,"Tymes, The",620.0,a,1964_620,3.0,0.0,0.0,1.0,2:21
Here We Go,1998,Funkmaster Flex,257.0,a,1998_257,14.0,0.0,0.0,2.0,4:04
Here We Go,2005,Trina,82.0,b,2005_082,20.0,14.0,0.0,1.0,3:50
Here We Go,1991,C & C Music Factory,41.0,a,1991_041,20.0,14.0,6.0,1.0,4:38
Here We Go Again,1969,Nancy Sinatra,656.0,a,1969_656,2.0,0.0,0.0,2.0,3:07
Here We Go Again,1993,Portrait,59.0,a,1993_059,23.0,18.0,0.0,2.0,3:54
Here We Go Again,1967,Ray Charles,146.0,a,1967_146,12.0,9.0,0.0,3.0,3:14
Here We Go Again,2009,Demi Lovato,72.0,h,2009_072,9.0,2.0,0.0,1.0,3:45
Here We Go Again,1998,Aretha Franklin,277.0,a,1998_277,11.0,0.0,0.0,1.0,3:27
Here We Go Again,1944,Glenn Miller & His Orchestra,198.0,h,1944_198,1.0,,,,
Here in My Arms,1926,Jack Shilkret & His Orchestra,134.0,m,1926_134,1.0,,,,
Here in My Arms,1926,Leo Reisman & His Orchestra,78.0,m,1926_078,3.0,,,,
Here in My Heart,1952,Vic Damone,63.0,h,1952_063,9.0,,,,
Here in My Heart,1952,Al Martino,11.0,h,1952_010,19.0,,,3.0,3:10
Here it Comes Again,1906,Bert Williams,30.0,m,1906_030,4.0,,,,
Here it Comes Again,1906,Arthur Collins,57.0,m,1906_057,1.0,,,,
Hernando's Hideaway,1954,Johnnie Ray,91.0,h,1954_091,7.0,,,,
Hernando's Hideaway,1954,Guy Lombardo & His Royal Canadians,95.0,h,1954_095,4.0,,,,
Hernando's Hideaway,1954,Archie Bleyer,13.0,h,1954_013,17.0,,,2.0,
Hero,2010,Christopher Wilde,282.0,h,2010_282,1.0,0.0,0.0,1.0,3:16
Hero,1993,David Crosby,168.0,a,1993_168,20.0,0.0,0.0,2.0,4:26
Hero,2001,Enrique Iglesias,21.0,y,2001_021,34.0,26.0,14.0,3.0,4:24
Hero,2002,Chad Kroeger,17.0,y,2002_017,22.0,19.0,8.0,2.0,3:19
Hero,1993,Mariah Carey,6.0,a,1993_006,30.0,25.0,16.0,4.0,4:17
Hero,2008,NAS,398.0,b,2008_398,1.0,0.0,0.0,1.0,4:02
Hey,2010,Lil Jon,308.0,h,2010_308,2.0,0.0,0.0,1.0,3:35
Hey,2009,Mitchel Musso,307.0,h,2009_307,2.0,0.0,0.0,1.0,3:01
Hey Baby,1989,Henry Lee Summer,155.0,a,1989_155,18.0,8.0,0.0,1.0,3:47
Hey Baby,1977,Ringo Starr,362.0,a,1977_362,3.0,0.0,0.0,1.0,3:10
Hey Baby,1976,J.J. Cale,508.0,a,1976_508,3.0,0.0,0.0,2.0,3:16
Hey Baby,1976,Ted Nugent,381.0,a,1976_381,5.0,0.0,0.0,1.0,2:59
Hey Baby,2002,No Doubt,31.0,y,2002_031,20.0,16.0,7.0,2.0,3:27
Hey Girl,1972,Donny Osmond,90.0,a,1972_090,10.0,9.0,4.0,1.0,3:06
Hey Girl,2013,Billy Currington,164.0,h,2013_164,21.0,1.0,0.0,1.0,3:20
Hey Joe,1967,Cher,664.0,a,1967_664,2.0,0.0,0.0,2.0,2:49
Hey Joe,1969,Wilson Pickett,391.0,a,1969_391,6.0,0.0,0.0,1.0,3:05
Hey Joe,1966,"Leaves, The",278.0,a,1966_278,9.0,4.0,0.0,1.0,2:48
Hey Jude,1968,"Beatles, The",1.0,a,1968_001,19.0,19.0,14.0,9.0,7:11
Hey Jude,1969,Wilson Pickett,174.0,a,1969_174,9.0,6.0,0.0,1.0,4:02
Hey Little Girl,1963,Major Lance,126.0,a,1963_126,10.0,8.0,0.0,3.0,2:32
Hey Little Girl,1959,Dee Clark,142.0,a,1959_142,15.0,9.0,0.0,1.0,2:15
Hey Little One,1964,J. Frank Wilson and the Cavaliers,572.0,a,1964_572,2.0,0.0,0.0,1.0,2:35
Hey Little One,1960,Dorsey Burnette,315.0,a,1960_315,11.0,0.0,0.0,1.0,2:17
Hey Little One,1968,Glen Campbell,356.0,a,1968_356,7.0,0.0,0.0,1.0,2:27
Hey Lover,1963,Debbie Dovale,504.0,a,1963_504,4.0,0.0,0.0,1.0,2:12
Hey Lover,1995,LL Cool J,19.0,a,1995_019,21.0,20.0,14.0,8.0,4:00
Hey Mama,2004,"Black Eyed Peas, The",93.0,y,2004_093,20.0,10.0,0.0,2.0,3:34
Hey Mama,2015,David Guetta,163.0,h,2015-163,6.0,3.0,0.0,1.0,3:12
Hey There,1954,Rosemary Clooney,7.0,h,1954_007,27.0,,,6.0,
Hey There,1954,Sammy Davis Jr.,105.0,h,1954_104,10.0,,,,
Hey There,1954,Johnnie Ray,276.0,m,1954_281,3.0,,,,
Hey There Lonely Girl,1970,Eddie Holman,27.0,a,1970_027,14.0,12.0,6.0,1.0,3:19
Hey There Lonely Girl,1980,Robert John,178.0,a,1980_178,13.0,4.0,0.0,1.0,3:08
Hey! Ba-Ba-Re-Bop,1946,Lionel Hampton & His Orchestra,105.0,h,1946_106,8.0,,,,2:52
Hey! Ba-Ba-Re-Bop,1946,Tex Beneke & The Glenn Miller Orchestra,46.0,h,1946_043,9.0,,,,3:00
Hey! Baby,1962,Bruce Channel,8.0,a,1962_008,15.0,12.0,8.0,3.0,2:23
Hey! Baby,1969,Jose Feliciano,462.0,a,1969_462,5.0,0.0,0.0,2.0,2:48
Hey! Little Girl,1962,Del Shannon,281.0,a,1962_281,8.0,2.0,0.0,1.0,2:25
Hey! Little Girl,1957,Techniques,214.0,BS,1957_214,13.0,2.0,0.0,1.0,2:31
"Hey, Good Lookin'",1951,Hank Williams & His Drifting Cowboys,296.0,m,1951_313,1.0,,,,2:42
"Hey, Good Lookin'",1951,Jo Stafford & Frankie Laine,65.0,h,1951_065,8.0,,,1.0,2:17
"Hey, Soul Sister",2010,Train,25.0,h,2010_025,54.0,39.0,19.0,4.0,3:36
"Hey, Soul Sister",2010,Glee Cast,147.0,h,2010_147,1.0,1.0,0.0,1.0,3:40
Hi-Heel Sneakers,1968,Jose Feliciano,183.0,a,1968_183,8.0,7.0,0.0,3.0,3:43
Hi-Heel Sneakers,1964,Tommy Tucker,109.0,a,1964_109,11.0,8.0,0.0,2.0,2:50
"Hi-Lili, Hi-Lo",1956,"Dick Hyman Trio, The",415.0,Top,1956_415,5.0,0.0,0.0,1.0,2:39
"Hi-Lili, Hi-Lo",1953,Leslie Caron & Mel Ferrer,416.0,m,1953_416,1.0,,,,
"Hi-Yo, Silver",1938,Jan Savitt & His Orchestra,272.0,m,1938_272,2.0,,,,
"Hi-Yo, Silver",1938,Roy Rogers,250.0,m,1938_250,2.0,,,,
Hiawatha,1903,Dan Quinn,37.0,m,1903_037,3.0,,,,
Hiawatha,1903,Columbia Orchestra,27.0,m,1903_027,4.0,,,,
Hiawatha,1903,Harry Macdonough,9.0,m,1903_009,9.0,,,4.0,
Hideaway,1958,"Four Esquires, The",176.0,Hot,1958_176,17.0,6.0,0.0,1.0,2:17
Hideaway,1976,John Sebastian,506.0,a,1976_506,2.0,0.0,0.0,1.0,2:49
Hideaway,2014,Kiesza,258.0,h,2014_198,14.0,0.0,0.0,1.0,4:11
High,2006,James Blunt,358.0,b,2006_358,1.0,0.0,0.0,1.0,4:03
High,2011,Big Sean,479.0,h,2011_479,1.0,0.0,0.0,1.0,4:20
High,1992,"Cure, The",184.0,a,1992_184,12.0,0.0,0.0,1.0,3:28
High Heel Sneakers,1965,Stevie Wonder,439.0,a,1965_439,7.0,0.0,0.0,1.0,3:08
High Heel Sneakers,1964,Jerry Lee Lewis,613.0,a,1964_613,1.0,0.0,0.0,1.0,2:43
High Noon (Do Not Forsake Me),1952,Frankie Laine,37.0,h,1952_036,19.0,,,,2:36
High Noon (Do Not Forsake Me),1952,Tex Ritter,93.0,h,1952_093,8.0,,,,2:43
High On A Windy Hill,1941,Gene Krupa & His Orchestra,32.0,h,1941_018,9.0,,,1.0,
High On A Windy Hill,1941,Jimmy Dorsey & His Orchestra,13.0,h,1941_065,10.0,,,2.0,
High School Dance,1957,Larry Williams,57.0,BS (flip),1957_057b,5.0,,,,2:18
High School Dance,1977,"Sylvers, The",119.0,a,1977_119,17.0,10.0,0.0,1.0,3:48
High on a Windy Hill,1941,Vaughn Monroe & His Orchestra,148.0,h,1941_110,3.0,,,,
High on a Windy Hill,1941,Will Bradley & His Orchestra,98.0,h,1941_070,3.0,,,,
Higher,2011,Taio Cruz,115.0,h,2011_115,15.0,7.0,0.0,1.0,3:40
Higher,2000,Creed,47.0,y,2000_047,57.0,30.0,6.0,2.0,5:16
Higher Ground,1994,UB40,168.0,a,1994_168,20.0,0.0,0.0,1.0,4:20
Higher Ground,1973,Stevie Wonder,57.0,a,1973_057,14.0,12.0,6.0,1.0,3:10
Hindustan,1919,Henry Burr & Albert Campbell,66.0,m,1919_066,3.0,,,,
Hindustan,1948,Ted Weems & His Orchestra,274.0,h,1948_168,4.0,,,,2:05
Hindustan,1919,Joseph C. Smith's Orchestra,36.0,m,1919_036,5.0,,,,
Hinky Dinky Parley Voo,1924,Billy Murray & Ed Smalle,150.0,m,1924_150,1.0,,,,
Hinky Dinky Parley Voo,1924,Billy Jones & Ernest Hare,61.0,m,1924_061,2.0,,,,
Hippy Hippy Shake,1988,"Georgia Satellites, The",223.0,a,1988_223,14.0,0.0,0.0,2.0,1:45
Hippy Hippy Shake,1964,"Swinging Blue Jeans, The",197.0,a,1964_197,8.0,5.0,0.0,2.0,1:42
History Repeats Itself,1966,Cab Calloway,613.0,a,1966_613,3.0,0.0,0.0,1.0,2:27
History Repeats Itself,1966,Buddy Starcher,326.0,a,1966_326,7.0,1.0,0.0,1.0,2:27
Hit The Road Jack,1961,Ray Charles,14.0,a,1961_014,13.0,11.0,8.0,2.0,2:00
Hit The Road Jack,1976,Stampeders,222.0,a,1976_222,8.0,2.0,0.0,2.0,2:45
Ho Hum!,1931,Ted Lewis & His Band,77.0,m,1931_077,6.0,,,,
Ho Hum!,1931,Gus Arnheim & His Orchestra (Vocal Bing Crosby),78.0,m,1931_078,4.0,,,,
Hold Back The Night,1977,Graham Parker,290.0,a,1977_290,8.0,0.0,0.0,1.0,3:02
Hold Back The Night,1976,"Trammps, The",198.0,a,1976_198,10.0,4.0,0.0,2.0,2:59
Hold Me,1920,Art Hickman & His Orchestra,6.0,m,1920_006,14.0,,,3.0,
Hold Me,1985,Menudo,294.0,a,1985_294,11.0,0.0,0.0,1.0,3:59
Hold Me,1933,Ted Fio Rito & His Orchestra,127.0,m,1933_127,3.0,,,,
Hold Me,1982,Fleetwood Mac,26.0,a,1982_026,17.0,15.0,10.0,7.0,3:42
Hold Me,1985,Laura Branigan,365.0,a,1985_365,4.0,0.0,0.0,2.0,4:15
Hold Me,1999,Brian McKnight,150.0,a,1999_150,12.0,2.0,0.0,1.0,4:00
Hold Me,1987,Colin James Hay,398.0,a,1987_398,1.0,0.0,0.0,1.0,4:09
Hold Me,1933,Hotel Commodore Orchestra,29.0,m,1933_029,7.0,,,,
Hold Me,1964,P.J. Proby,485.0,a,1964_485,4.0,0.0,0.0,1.0,2:47
Hold Me,1984,Teddy Pendergrass,235.0,a,1984_235,18.0,0.0,0.0,2.0,4:53
Hold Me,1969,"Baskerville Hounds, The",564.0,a,1969_564,2.0,0.0,0.0,2.0,3:14
Hold Me,1987,Sheila E.,299.0,a,1987_299,10.0,0.0,0.0,1.0,4:10
Hold Me,1933,Eddy Duchin & His Orchestra,114.0,m,1933_114,3.0,,,,
"Hold Me, Thrill Me, Kiss Me",1965,Mel Carter,91.0,a,1965_091,15.0,11.0,2.0,1.0,2:27
"Hold Me, Thrill Me, Kiss Me",1953,Karen Chandler,38.0,h,1953_039,18.0,,,,2:57
Hold My Hand,1934,Rudy Vallee & His Connecticut Yankees,158.0,m,1934_158,4.0,,,,
Hold My Hand,1995,Hootie & The Blowfish,54.0,a,1995_054,44.0,34.0,3.0,3.0,4:10
Hold My Hand,2011,Michael Jackson,170.0,h,2011_170,9.0,1.0,0.0,1.0,3:32
Hold My Hand,1932,Ray Noble & His Orchestra,49.0,m,1932_049,8.0,,,,
Hold My Hand,1954,Don Cornell,19.0,h,1954_018,18.0,,,1.0,
Hold My Hand,1932,Arthur Lally & His Orchestra,141.0,m,1932_141,3.0,,,,
Hold On,1990,En Vogue,36.0,a,1990_036,25.0,17.0,7.0,1.0,5:04
Hold On,1990,Wilson Phillips,14.0,a,1990_014,25.0,18.0,9.0,1.0,3:32
Hold On,1970,"Rascals, The",315.0,a,1970_315,7.0,0.0,0.0,1.0,3:33
Hold On,1979,Ian Gomm,127.0,a,1979_127,12.0,5.0,0.0,2.0,2:57
Hold On,2013,Alabama Shakes,381.0,h,2013_381,2.0,0.0,0.0,1.0,3:46
Hold On,1977,Wild Cherry,305.0,a,1977_305,6.0,0.0,0.0,1.0,3:10
Hold On,2007,Jonas Brothers,202.0,b,2007_202,7.0,0.0,0.0,1.0,2:44
Hold On,1979,Triumph,217.0,a,1979_217,14.0,3.0,0.0,1.0,2:59
Hold On,1982,Santana,101.0,a,1982_101,14.0,10.0,0.0,2.0,3:49
Hold On,1968,"Radiants, The",455.0,a,1968_455,9.0,0.0,0.0,1.0,2:50
Hold On,1981,Badfinger,270.0,a,1981_270,8.0,0.0,0.0,2.0,3:30
Hold On,2004,Good Charlotte,216.0,y,2004_216,5.0,0.0,0.0,1.0,4:06
Hold On,1995,Jamie Walters,77.0,a,1995_077,27.0,20.0,0.0,2.0,4:20
Hold On,1989,Donny Osmond,319.0,a,1989_319,7.0,0.0,0.0,1.0,3:32
Hold On,1976,Sons Of Champlin,260.0,a,1976_260,10.0,0.0,0.0,1.0,3:01
Hold On,1980,Kansas,228.0,a,1980_228,11.0,1.0,0.0,1.0,3:45
Hold On To The Night,1979,Hotel,423.0,a,1979_423,4.0,0.0,0.0,2.0,3:50
Hold On To The Night,1978,Starz,390.0,a,1978_390,3.0,0.0,0.0,2.0,3:16
"Hold On, We're Going Home",2013,Drake,26.0,h,2013_026,33.0,31.0,13.0,1.0,3:47
"Hold On, We're Going Home",2014,Christina Grimmie,168.0,h,2014_267,1.0,0.0,0.0,1.0,2:55
Hold Tight,1981,Change,398.0,a,1981_398,2.0,0.0,0.0,2.0,3:43
Hold Tight,1939,Fats Waller,174.0,m,1939_174,4.0,,,,
Hold Tight,1977,Vicki Sue Robinson,330.0,a,1977_330,9.0,0.0,0.0,2.0,3:31
Hold Tight,2013,Justin Bieber,139.0,h,2013_139,1.0,1.0,0.0,1.0,4:14
Hold You Down,2005,"Alchemist, The",323.0,b,2005_323,4.0,0.0,0.0,1.0,3:58
Hold You Down,2014,DJ Khaled,296.0,h,2014_144,20.0,2.0,0.0,2.0,4:53
Hold You Down,2005,Jennifer Lopez,237.0,b,2005_237,8.0,0.0,0.0,1.0,4:32
Hold Your Man,1933,Gertrude Niesen,157.0,m,1933_157,3.0,,,,
Hold Your Man,1933,Don Bestor & His Orchestra,103.0,m,1933_103,4.0,,,,
Holiday,2005,Green Day,89.0,b,2005_089,32.0,25.0,0.0,1.0,3:53
Holiday,1987,"Other Ones, The",189.0,a,1987_189,17.0,4.0,0.0,1.0,3:44
Holiday,1980,Nazareth,448.0,a,1980_448,3.0,0.0,0.0,1.0,3:35
Holiday,1987,Kool & The Gang,293.0,a,1987_293,7.0,0.0,0.0,1.0,3:20
Holiday,1984,Madonna,114.0,a,1984_114,21.0,11.0,0.0,2.0,3:50
Holiday,1967,Bee Gees,162.0,a,1967_162,9.0,5.0,0.0,2.0,2:52
Holiday For Strings,1945,Spike Jones & His City Slickers,148.0,h,1945_148,1.0,,,,3:07
Holiday For Strings,1944,David Rose & His Orchestra,18.0,h,1944_018,21.0,,,3.0,2:25
Holiday for Strings,1944,Jimmy Dorsey & His Orchestra,118.0,h,1944_118,2.0,,,,
Holiday for Strings,1944,Fred Waring's Pennsylvanians,153.0,h,1944_153,1.0,,,,
Holly Holy,1971,Jr. Walker & The All Stars,457.0,a,1971_457,5.0,0.0,0.0,2.0,3:12
Holly Holy,1969,Neil Diamond,69.0,a,1969_069,14.0,12.0,3.0,1.0,4:27
Hollywood,1977,Rufus,183.0,a,1977_183,8.0,3.0,0.0,1.0,3:45
Hollywood,2010,Michael Buble,269.0,h,2010_269,2.0,0.0,0.0,1.0,4:13
Hollywood,1982,Shooting Star,360.0,a,1982_360,5.0,0.0,0.0,1.0,3:59
Hollywood,1961,Connie Francis,312.0,a,1961_312,7.0,0.0,0.0,1.0,2:15
Hollywood,1978,Boz Scaggs,278.0,a,1978_278,10.0,0.0,0.0,1.0,3:08
Holy Water,2005,Big & Rich,275.0,b,2005_275,7.0,0.0,0.0,1.0,4:16
Holy Water,1990,Bad Company,357.0,a,1990_357,6.0,0.0,0.0,3.0,4:00
Home,2005,Three Days Grace,307.0,b,2005_307,4.0,0.0,0.0,1.0,4:22
Home,1932,Louis Armstrong,210.0,m,1932_210,1.0,,,,
Home,1932,Peter Van Steeden & His Orchestra,18.0,m,1932_018,9.0,,,3.0,
Home,2013,Phillip Phillips,36.0,h,2013_036,40.0,33.0,13.0,1.0,3:29
Home,1997,Depeche Mode,312.0,a,1997_312,3.0,0.0,0.0,1.0,5:40
Home,2010,Glee Cast,436.0,h,2010_436,1.0,0.0,0.0,1.0,3:31
Home,2012,Dierks Bentley,151.0,h,2012_151,20.0,0.0,0.0,1.0,4:00
Home,2007,Daughtry,33.0,b,2007_033,37.0,29.0,3.0,2.0,4:15
Home,1950,"Nat ""King"" Cole",239.0,h,1950_240,1.0,,,1.0,
Home,2008,Blake Shelton,180.0,b,2008_180,20.0,0.0,0.0,2.0,3:50
Home,2005,Michael Buble,265.0,b,2005_265,20.0,0.0,0.0,1.0,3:45
Home Again Blues,1921,Frank Crumit,127.0,m,1921_127,1.0,,,,
Home Again Blues,1921,Original Dixieland Jazz Band,21.0,m,1921_021,6.0,,,1.0,
Home Again Blues,1921,Aileen Stanley,75.0,m,1921_075,2.0,,,,
Home Of The Brave,1965,Jody Miller,233.0,a,1965_233,9.0,5.0,0.0,1.0,2:50
Home Of The Brave,1965,Bonnie and the Treasures,538.0,a,1965_538,5.0,0.0,0.0,1.0,2:40
Home Sweet Home,1985,Mtley Cre,392.0,a,1985_392,6.0,0.0,0.0,1.0,3:51
Home Sweet Home,2009,Carrie Underwood,98.0,h,2009_098,3.0,1.0,0.0,1.0,3:38
Home To You,1999,John Michael Montgomery,184.0,a,1999_184,20.0,0.0,0.0,2.0,3:27
Home To You,1969,Earth Opera,650.0,a,1969_650,1.0,0.0,0.0,1.0,2:41
"Home, Sweet Home",1915,Elsie Baker,122.0,m,1915_122,1.0,,,,
"Home, Sweet Home",1915,Alice Nielsen,12.0,m,1915_012,8.0,,,,
"Home, Sweet Home",1906,Richard Jose,31.0,m,1906_031,3.0,,,,
"Home, Sweet Home",1902,Harry Macdonough,18.0,m,1902_018,4.0,,,,
"Home, Sweet Home",1891,John Yorke Atlee,9.0,m,1891_009,3.0,,,3.0,
"Home, Sweet Home",1912,Alma Gluck,75.0,m,1912_075,2.0,,,,
Honest I Do,1960,"Innocents, The",201.0,a,1960_201,10.0,3.0,0.0,1.0,1:52
Honest I Do,1957,Jimmy Reed,220.0,Top,1957_220,15.0,3.0,0.0,1.0,2:43
Honest and Truly,1925,Henry Burr,157.0,m,1925_157,1.0,,,,
Honest and Truly,1925,Ben Selvin & His Orchestra,106.0,m,1925_106,2.0,,,,
Honestly,1939,Eddy Duchin & His Orchestra,290.0,m,1939_290,1.0,,,,
Honestly,2007,Cartel,323.0,b,2007_323,5.0,0.0,0.0,1.0,3:27
Honestly,1988,Stryper,161.0,a,1988_161,19.0,8.0,0.0,1.0,4:08
Honey,1929,Rudy Vallee & His Connecticut Yankees,2.0,m,1929_002,15.0,,,8.0,
Honey,1968,Bobby Goldsboro,4.0,a,1968_004,15.0,13.0,10.0,5.0,3:58
Honey,2008,Erykah Badu,353.0,b,2008_353,3.0,0.0,0.0,1.0,4:31
Honey,1997,Mariah Carey,7.0,a,1997_007,20.0,18.0,8.0,3.0,5:00
Honey,1929,Ben Selvin & His Orchestra,116.0,m,1929_116,4.0,,,,
Honey Boy,1907,Peerless Quartet (Columbia  Male Quartet),15.0,m,1907_015,5.0,,,2.0,
Honey Boy,1907,Billy Murray,56.0,m,1907_056,1.0,,,,
Honey Hush,1960,Joe Turner,337.0,a,1960_337,9.0,0.0,0.0,1.0,2:25
Honey Hush,1953,Joe Turner,263.0,m,1953_263,2.0,,,,2:38
Honey Love,1960,Narvel Felts,538.0,a,1960_538,2.0,0.0,0.0,1.0,2:05
Honey Love,1992,R. Kelly,178.0,a,1992_178,19.0,1.0,0.0,1.0,4:52
Honey Love,1954,Vicki Young,243.0,m,1954_250,2.0,,,,
Honey Love,1954,Drifters,150.0,m,1954_167,4.0,,,,
Honey Love,1911,That Girl Quartet,43.0,m,1911_043,4.0,,,,
"Honey, Honey",1974,ABBA,183.0,a,1974_183,10.0,4.0,0.0,2.0,2:55
"Honey, Honey",1980,David Hudson,326.0,a,1980_326,11.0,0.0,0.0,1.0,3:50
Honeysuckle Rose,1937,Fats Waller (with Tommy Dorsey & Bunny Berigan & Dick McDonough),71.0,m,1937_071,4.0,,,,
Honeysuckle Rose,1935,Fats Waller,245.0,m,1935_245,1.0,,,,
Honeysuckle Rose,1935,Dorsey Brothers Orchestra,262.0,m,1935_262,1.0,,,,
Honeysuckle Rose,1935,Red Norvo & His Orchestra,131.0,m,1935_131,4.0,,,,
Honeysuckle Rose,1933,Fletcher Henderson & His Orchestra,193.0,m,1933_193,2.0,,,,
Hong Kong Blues,1945,Tommy Dorsey & His Orchestra,100.0,h,1945_100,3.0,,,,2:56
Hong Kong Blues,1945,Hoagy Carmichael,77.0,h,1945_077,3.0,,,,2:31
Honky Tonk (Part 1),1956,Bill Doggett,20.0,JB,1956_020a,29.0,22.0,16.0,3.0,3:05
Honky Tonk (Part 1),1972,James Brown,265.0,a,1972_265,8.0,0.0,0.0,2.0,3:05
Honky Tonk (Part 2),1956,Bill Doggett,20.0,JB,1956_020b,29.0,22.0,16.0,3.0,2:33
Honky Tonk (Part 2),1961,Bill Doggett,394.0,a,1961_394,10.0,0.0,0.0,1.0,2:33
Hooked On A Feeling,1974,Blue Swede,20.0,a,1974_020,17.0,14.0,7.0,1.0,2:54
Hooked On A Feeling,1969,B.J. Thomas,58.0,a,1969_058,16.0,12.0,5.0,2.0,2:44
Hooked On You,1977,Bread,300.0,a,1977_300,7.0,0.0,0.0,1.0,2:18
Hooked On You,1995,Silk,182.0,a,1995_182,18.0,0.0,0.0,3.0,4:28
Hooked On You,1989,Sweet Sensation,170.0,a,1989_170,16.0,7.0,0.0,1.0,4:06
Hooked On You,1987,Sweet Sensation,285.0,a,1987_285,12.0,0.0,0.0,1.0,3:52
Hoop-Dee-Doo,1950,Perry Como & Fontane Sisters,14.0,h,1950_016,17.0,,,2.0,2:53
Hoop-Dee-Doo,1950,Russ Morgan & His Orchestra,160.0,h,1950_163,4.0,,,1.0,
Hoop-Dee-Doo,1950,Kay Starr,26.0,h,1950_024,15.0,,,1.0,2:06
Hoop-Dee-Doo,1950,Doris Day,175.0,h,1950_177,12.0,,,1.0,
Hop-Scotch Polka (Scotch Hot),1949,Art Mooney & His Orchestra,139.0,h,1949_143,11.0,,,1.0,2:56
Hop-Scotch Polka (Scotch Hot),1949,Guy Lombardo & His Royal Canadians,143.0,h,1949_099,5.0,,,1.0,2:52
Hopelessly,1993,Rick Astley,124.0,a,1993_124,20.0,6.0,0.0,1.0,3:34
Hopelessly,1954,Ames Brothers,236.0,m,1954_243,2.0,,,,
Horses,1926,George Olsen & His Orchestra,20.0,m,1926_020,6.0,,,1.0,
Horses,1926,Georgians,165.0,m,1926_165,1.0,,,,
Hot Fun In The Summertime,1982,Dayton,299.0,a,1982_299,7.0,0.0,0.0,2.0,3:42
Hot Fun In The Summertime,1969,Sly & the Family Stone,24.0,a,1969_024,16.0,13.0,7.0,2.0,2:37
Hot In The City,1982,Billy Idol,137.0,a,1982_137,17.0,9.0,0.0,4.0,3:30
Hot In The City,1988,Billy Idol,235.0,a,1988_235,10.0,0.0,0.0,1.0,3:30
Hot Lips,1934,Henry Busse & His Orchestra,39.0,m,1934_039,11.0,,,,
Hot Lips,1940,Henry Busse & His Orchestra,322.0,m,1940_327,1.0,,,,
Hot Lips,1922,Ted Lewis & His Band,129.0,m,1922_129,1.0,,,,
Hot Lips,1922,Paul Whiteman & His Orchestra,5.0,m,1922_005,11.0,,,6.0,
Hot Lips,1937,Horace Heidt & His Orchestra,92.0,m,1937_092,4.0,,,,
Hot Lips,1922,Cotton Pickers,76.0,m,1922_076,2.0,,,,
Hot Rod Lincoln,1960,Charlie Ryan and the Timberline Riders,231.0,a,1960_231,19.0,4.0,0.0,1.0,2:30
Hot Rod Lincoln,1960,Johnny Bond,183.0,a,1960_183,10.0,7.0,0.0,1.0,2:40
Hot Rod Lincoln,1972,Commander Cody & His Lost Planet Airmen,91.0,a,1972_091,14.0,11.0,2.0,1.0,2:40
Hot Shot,1966,"Buena Vistas, The",598.0,a,1966_598,4.0,0.0,0.0,1.0,2:37
Hot Shot,1978,Karen Young,345.0,a,1978_345,13.0,0.0,0.0,1.0,3:15
Hot Stuff,1979,Donna Summer,5.0,a,1979_005,21.0,17.0,14.0,3.0,3:47
Hot Stuff,1976,"Rolling Stones, The",276.0,a,1976_276,6.0,0.0,0.0,1.0,5:21
Hot Summer Nights,1979,Night,125.0,a,1979_125,15.0,8.0,0.0,2.0,3:29
Hot Summer Nights,1978,Walter Egan,301.0,a,1978_301,7.0,0.0,0.0,2.0,3:20
