Track,Year,Artist,Yearly Rank,Source,Prefix,CH,40,10,PK,Time
(This Is) My Last Affair,1937,Jimmie Lunceford & His Orchestra,114.0,m,1937_114,5.0,,,,
(This Is) My Last Affair,1937,Teddy Wilson & His Orchestra (Vocal Billie Holiday),176.0,m,1937_176,3.0,,,,
(We're Gonna) Rock Around The Clock,1955,Bill Haley and His Comets,3.0,BS,1955_003,24.0,24.0,19.0,8.0,2:08
(We're Gonna) Rock Around The Clock,1974,Bill Haley and His Comets,239.0,a,1974_239,14.0,1.0,0.0,1.0,2:08
(When It's) Darkness on the Delta,1933,Chick Bullock & His Orchestra,204.0,m,1933_204,1.0,,,,
(When It's) Darkness on the Delta,1933,Ted Fio Rito & His Orchestra,126.0,m,1933_126,3.0,,,,
(When Your Heart's On Fire) Smoke Gets in Your Eyes,1934,Emil Coleman & His Orchestra,54.0,m,1934_054,9.0,,,,
(When Your Heart's On Fire) Smoke Gets in Your Eyes,1934,Leo Reisman & His Orchestra,47.0,m,1934_047,6.0,,,,
(You Can't Let The Boy Overpower) The Man In You,1964,"Miracles, The",425.0,a,1964_425,5.0,0.0,0.0,1.0,2:53
(You Can't Let The Boy Overpower) The Man In You,1968,Chuck Jackson,634.0,a,1968_634,1.0,0.0,0.0,1.0,2:58
(You're My) Soul And Inspiration,1978,Donny and Marie,222.0,a,1978_222,11.0,3.0,0.0,1.0,3:19
(You're My) Soul And Inspiration,1966,"Righteous Brothers, The",4.0,a,1966_004,13.0,11.0,8.0,3.0,3:00
***Flawless,2014,Beyonce,288.0,h,2014_155a,20.0,0.0,0.0,1.0,4:10
***Flawless,2014,Beyonce,288.0,h,2014_155b,20.0,0.0,0.0,1.0,4:10
**1999**,1983,Prince,95.0,a,1983_095,27.0,10.0,0.0,2.0,3:35
**1999**,1999,Prince,171.0,a,1999_171,1.0,1.0,0.0,1.0,6:22
1/2/2003,1988,Gloria Estefan,56.0,a,1988_056,19.0,13.0,5.0,1.0,3:32
1/2/2003,1965,Len Barry,32.0,a,1965_032,15.0,10.0,7.0,1.0,2:21
1/2/2003,1990,"Chimes, The",350.0,a,1990_350,5.0,0.0,0.0,1.0,3:16
100 Years,1968,Nancy Sinatra,459.0,a,1968_459,6.0,0.0,0.0,2.0,2:29
100 Years,2004,Five For Fighting,105.0,y,2004_105,22.0,13.0,0.0,1.0,4:05
11th Hour Melody,1956,Al Hibbler,171.0,Top,1956_171,16.0,5.0,0.0,1.0,2:55
11th Hour Melody,1956,Lou Busch,221.0,Top,1956_221,11.0,2.0,0.0,1.0,2:49
12th Street Rag,1935,Fats Waller,271.0,m,1935_271,1.0,,,,
