Year,Yearly Rank,Source,Prefix,CH,40,10,PK,High,Verified,Artist,Artist Inverted,Featured,UnFeatured,Album,B-Side,Track,Time,Time Source,explicit,Time (Album),Artist ID,SYMBL,ReIssue,Label/Number,Media,Stereo (55-68),Pic Sleeve,Genre,Comments,Written By,Temp 1,Date Entered,Date Peaked,1st Week,2nd Week,3rd Week,4th Week,5th Week,6th Week,7th Week,8th Week,9th Week,10th Week,11th Week,12th Week,13th Week,14th Week,15th Week,16th Week,17th Week,18th Week,19th Week,20th Week,21st Week,22nd Week,23rd Week,24th Week,25th Week,26th Week,27th Week,28th Week,29th Week,30th Week,31st Week,32nd Week,33rd Week,34th Week,35th Week,36th Week,37th Week,38th Week,39th Week,40th Week,41st Week,42nd Week,43rd Week,44th Week,45th Week,46th Week,47th Week,48th Week,49th Week,50th Week,51st Week,52nd Week,53rd Week,54th Week,55th Week,56th Week,57th Week,58th Week,59th Week,60th Week,61st Week,62nd Week,63rd Week,64th Week,65th Week,66th Week,67th Week,68th Week,69th Week,70th Week,71st Week,72nd Week,73rd Week,74th Week,75th Week,76th Week,77th Week,78th Week,79th Week,80th Week,81st Week,82nd Week,83rd Week,84th Week,85th Week,86th Week,87th Week,88th Week,89th Week,90th Week,91st Week
1972,537.0,a,1972_537b,4.0,,,,-1,t,Dennis Coffey,"Coffey, Dennis",,,When You Lie Next To Me (BNA 67040),Getting It On,"Ride, Sally, Ride",3:06,45,,,,I,,Sussex 237 B,45m,,,Rock,,"Dennis Coffey, Mike Theodore",23,1972-06-03,,B97,B94,B93,B97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1971,3.0,a,1971_003,17.0,15.0,10.0,5.0,1,p,Carole King,"King, Carole",,,Tapestry - Ode SP-77009,I Feel The Earth Move,It's Too Late,3:51,,,,,,,Ode 66015,45,,y,Rock,,Carole King,2125,1971-05-08,1971-06-19,84,47,38,21,9,6,1,1,1,1,1,2,3,7,11,13,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1971,3.0,a,1971_003b,12.0,,,,-1,x,Carole King,"King, Carole",,,Tapestry - Ode SP-77009,It's Too Late,I Feel The Earth Move,2:57,45,,,,,,Ode 66015,45,,y,Rock,,Carole King,,1971-06-12,,B6,B1,B1,B1,B1,B1,B2,B3,B7,B11,B13,B21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1971,53.0,a,1971_053,12.0,11.0,5.0,2.0,5,,Paul McCartney,"McCartney, Paul",,,,Oh Woman Oh Why,Another Day,3:41,,,,,,,Apple 1829,45,,,Rock,,Paul McCartney,1083,1971-03-06,1971-04-17,55,36,20,14,10,8,5,5,8,14,20,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1971,53.0,b,1971_053b,9.0,,,,-1,p,Paul McCartney,"McCartney, Paul",,,,Another Day,Oh Woman Oh Why,4:45,,,,,,,Apple 1829,45s,,,Rock,,Paul McCartney,,1971-03-27,,B14,B10,B8,B5,B5,B8,B14,B20,B39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1971,59.0,a,1971_059,12.0,11.0,6.0,1.0,6,p,Aretha Franklin,"Franklin, Aretha",,,,Brand New Me,Bridge Over Troubled Water,3:18,,,,,,,Atlantic 45-2796,45,,,Rock,,"Kenny Gamble, Thom Bell, Jerry Butler",1124,1971-04-17,1971-06-05,57,24,12,8,7,7,7,6,10,11,21,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1971,59.0,a,1971_059b,4.0,,,,-1,,Aretha Franklin,"Franklin, Aretha",,,,Bridge Over Troubled Water*,Brand New Me,4:20,,,,,,,Atlantic 45-2796,45,,,Rock,,"Theresa Bell, Jerry Butler, Kenny Gamble",,1971-06-12,,B10,B11,B21,B33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1971,67.0,a,1971_067,13.0,11.0,3.0,2.0,7,x,Chicago,Chicago,,,Chicago Transit Authority - Columbia 8,Colour My World,Beginnings,2:45,45,,,,,,Columbia 4-45417,45m,,,Rock,,Robert Lamm,1068,1971-06-26,1971-08-14,83,59,37,23,19,16,8,7,7,11,15,19,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1971,67.0,a,1971_067b,12.0,,,,-1,p,Chicago,Chicago,,,Chicago - Columbia KGP-24,Beginnings,Colour My World,3:01,,,,,,,Columbia 4-45417,45,,,Rock,,James C. Pankow,,1971-07-03,,B59,B37,B23,B19,B16,B8,B7,B7,B11,B15,B19,B26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1971,78.0,a,1971_078,10.0,9.0,1.0,1.0,8,p,Creedence Clearwater Revival,Creedence Clearwater Revival,,,Pendulum - Fantasy 8410,Hey Tonight,Have You Ever Seen The Rain,2:39,,,,,,,Fantasy 655,45,,,Rock,,John Fogerty,851,1971-01-30,1971-03-13,56,32,24,17,13,11,8,12,17,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
